dimension,jsd,p_perm,n_images
gender,0.17174260488412396,0.000999000999000999,50
economic_status,0.7175762862764928,0.000999000999000999,50
political_spectrum,0.5565793112950573,0.000999000999000999,50
personality,0.579347438083312,0.000999000999000999,50
