image_id,condition,np_cap_sim_mean,np_just_sim_mean,persona_cap_sim,persona_just_sim
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,NP-Think,0.635625422000885,0.41850340366363525,0.77901244,0.53671694
1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,NP-NoThink,0.778290331363678,0.556528627872467,0.77901244,0.53671694
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,NP-Think,0.8255380392074585,0.5407346487045288,0.8849311,0.55949146
1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,NP-NoThink,0.8871586322784424,0.519342839717865,0.8849311,0.55949146
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,NP-Think,0.7854855060577393,0.4623893201351166,0.80635285,0.57409716
1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,NP-NoThink,0.7411430478096008,0.4782743752002716,0.80635285,0.57409716
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,NP-Think,0.7283077836036682,0.5013765096664429,0.8501753,0.7166026
1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,NP-NoThink,0.7914668321609497,0.5552873611450195,0.8501753,0.7166026
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,NP-Think,0.7333542704582214,0.47353896498680115,0.76765263,0.546676
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,NP-NoThink,0.8107413053512573,0.5252031683921814,0.76765263,0.546676
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,NP-Think,0.5641140937805176,0.5650539994239807,0.8853121,0.5921484
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,NP-NoThink,0.884282648563385,0.4978586733341217,0.8853121,0.5921484
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,NP-Think,0.8997186422348022,0.6281085014343262,0.96642673,0.6363909
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,NP-NoThink,0.9066727757453918,0.4750262498855591,0.96642673,0.6363909
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,NP-Think,0.7641453146934509,0.5942623615264893,0.83431923,0.5301474
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,NP-NoThink,0.8539276123046875,0.46727049350738525,0.83431923,0.5301474
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,NP-Think,0.9096447825431824,0.6167677640914917,0.9061013,0.6055147
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,NP-NoThink,0.9233237504959106,0.6535512804985046,0.9061013,0.6055147
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,NP-Think,0.9093927145004272,0.3438376188278198,0.9365975,0.72621197
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,NP-NoThink,0.9505251049995422,0.704258918762207,0.9365975,0.72621197
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,NP-Think,0.8023858666419983,0.4932247996330261,0.8858466,0.49423864
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,NP-NoThink,0.8891280293464661,0.484427273273468,0.8858466,0.49423864
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,NP-Think,0.6720603704452515,0.5015770196914673,0.8340299,0.5284543
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,NP-NoThink,0.773472011089325,0.4276801645755768,0.8340299,0.5284543
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,NP-Think,0.724886953830719,0.5012446045875549,0.8672917,0.570823
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,NP-NoThink,0.8823341131210327,0.48043355345726013,0.8672917,0.570823
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,NP-Think,0.8921052813529968,0.6149159669876099,0.9430937,0.5769041
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,NP-NoThink,0.9383034110069275,0.563672661781311,0.9430937,0.5769041
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,NP-Think,0.7475401759147644,0.5525521636009216,0.9338492,0.5977832
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,NP-NoThink,0.9286983013153076,0.5838626027107239,0.9338492,0.5977832
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,NP-Think,0.7801837921142578,0.6476894021034241,0.9092091,0.6200449
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,NP-NoThink,0.917831540107727,0.6586737036705017,0.9092091,0.6200449
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,NP-Think,0.8268671035766602,0.7092938423156738,0.866229,0.6430692
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,NP-NoThink,0.8681085109710693,0.69539874792099,0.866229,0.6430692
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,NP-Think,0.7342513203620911,0.49347418546676636,0.6993829,0.51112944
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,NP-NoThink,0.7183064818382263,0.4957941174507141,0.6993829,0.51112944
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,NP-Think,0.650256872177124,0.5096068382263184,0.93213123,0.5303472
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,NP-NoThink,0.929277777671814,0.5206778049468994,0.93213123,0.5303472
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,NP-Think,0.8224138617515564,0.49824798107147217,0.9594141,0.6658117
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,NP-NoThink,0.9452465772628784,0.6556926369667053,0.9594141,0.6658117
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,NP-Think,0.9638950824737549,0.7840936183929443,0.9615048,0.7618451
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,NP-NoThink,0.9748932123184204,0.7466806173324585,0.9615048,0.7618451
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,NP-Think,0.9388694167137146,0.5682445168495178,0.9875572,0.5687598
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,NP-NoThink,0.9933537840843201,0.532231330871582,0.9875572,0.5687598
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,NP-Think,0.9606354832649231,0.4964396059513092,0.9406702,0.5107025
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,NP-NoThink,0.9543107151985168,0.5508517622947693,0.9406702,0.5107025
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,NP-Think,0.7870721220970154,0.6277027130126953,0.9858634,0.730433
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,NP-NoThink,0.990078330039978,0.6574984788894653,0.9858634,0.730433
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,NP-Think,0.8867384791374207,0.4652440845966339,0.8601152,0.54348344
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,NP-NoThink,0.8867383003234863,0.5062872171401978,0.8601152,0.54348344
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,NP-Think,0.7874975800514221,0.672380268573761,0.9200836,0.6754199
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,NP-NoThink,0.9360809326171875,0.686099112033844,0.9200836,0.6754199
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,NP-Think,0.8610076904296875,0.5515536069869995,0.8874926,0.5235058
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,NP-NoThink,0.8561051487922668,0.5515536665916443,0.8874926,0.5235058
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,NP-Think,0.894049882888794,0.5147745013237,0.90198183,0.52928734
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,NP-NoThink,0.8763527274131775,0.5217908620834351,0.90198183,0.52928734
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,NP-Think,0.7475945949554443,0.41376620531082153,0.87833196,0.49195975
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,NP-NoThink,0.873209536075592,0.4436262547969818,0.87833196,0.49195975
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,NP-Think,0.8728863596916199,0.6792753338813782,0.90235054,0.6527939
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,NP-NoThink,0.887846052646637,0.6614832878112793,0.90235054,0.6527939
