selection,expected_agents_per_image,dimension,target,reference,n_images,mean_contrast,median_contrast,ci_lo,ci_hi,n_pos,n_zero,n_abs_ties,w_stat,p_wilcoxon,p_wilcoxon_bh,p_sign,p_sign_bh,rank_biserial,wilcoxon_method
complete_generated_agent_panel,1200,gender,justification,caption,49,0.004864508400157997,0.004677414894104004,0.003535474940836187,0.006179767411625837,44,0,0,88.0,6.147381270693586e-09,6.147381270693586e-09,7.59715845788378e-09,7.59715845788378e-09,0.856326530612245,exact
complete_generated_agent_panel,1200,economic_status,justification,caption,49,0.07992966138586707,0.07321393489837646,0.07017954778296699,0.09110387689583511,49,0,0,0.0,3.552713678800501e-15,4.736951571734001e-15,3.552713678800501e-15,4.736951571734001e-15,1.0,exact
complete_generated_agent_panel,1200,political_spectrum,justification,caption,49,0.046705118247440884,0.045742928981780895,0.04105178810356219,0.05324644106812344,49,0,0,0.0,3.552713678800501e-15,4.736951571734001e-15,3.552713678800501e-15,4.736951571734001e-15,1.0,exact
complete_generated_agent_panel,1200,personality,justification,caption,49,0.056584859989127316,0.05701380968093872,0.05151770635186155,0.06372230307111573,49,0,0,0.0,3.552713678800501e-15,4.736951571734001e-15,3.552713678800501e-15,4.736951571734001e-15,1.0,exact
