topic,label
0,Accident & systemic failure
1,Accident & police response
2,Home & peaceful scene
3,Decay & abandonment
4,Scenic calm & hope
5,Stark & neutral architecture
6,Wreckage & fragility
7,Neglect & disrepair
8,Natural landscape & beauty
9,Typical urban scene
