modality,within_mean,cross_mean,cross_std,n_images,identical_rate
caption,1.0000000941753386,0.9600644373893737,0.05964090157236569,50,0.48
justification,1.0000000452995301,0.6117388945817948,0.140966296997757,50,0.0
perception,1.0,0.6732472848788639,0.28336854824055313,50,0.36
