modality,within_mean,cross_mean,cross_std,n_images,identical_rate
caption,1.000000067949295,0.8230552923679352,0.08912785882959832,50,0.0
justification,1.0000000083446503,0.5544103920459748,0.15312487087233184,50,0.0
perception,1.0,0.4230793650793651,0.21598257595376924,50,0.02
