tag,count
Abandoned,16626
Lack of Maintenance (Negative),12398
Peaceful environment,8538
Calm environment,8248
Everyday environment,6385
Lack of Maintenance,4395
Nature,4133
Cleanliness,3985
Pleasant environment,3519
Debris/Destruction,3182
Work,2770
Urban environment,2736
Accident,2705
Old building,2674
Disorganization,2571
Violence,2543
Sunny weather,2308
Greenary,2175
Art/Architecture,1848
Construction / Work,1708
