modality,pearson_r,pearson_p,spearman_r,spearman_p,n
caption,0.8945206373640725,3.2499389457223115e-106,0.8724390271003011,1.1587240214566518e-94,300
justification,0.7955036042570133,8.490014395899543e-67,0.7798384426493628,1.4019216482415892e-62,300
perception,0.8797348524338431,3.16894654104172e-98,0.8319399104434492,3.2488558697393705e-78,300
