,caption_len,justification_len,n_perceptions
count,59708.0,59708.0,59708.0
mean,16.93,18.01,2.59
std,4.98,4.94,0.67
min,0.0,0.0,0.0
25%,14.0,15.0,2.0
50%,16.0,18.0,3.0
75%,19.0,21.0,3.0
max,204.0,219.0,6.0
