persona_id,image_id,mean_sim_vs_others
06990a25-a672-4775-a2f5-167a945c4c78,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
2521df93-15c5-421c-a943-c6c7c138f955,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90428936
fb050c10-0294-4570-ab7c-fed31ca381b5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
3f7ed3ce-11e3-4c77-9465-8265799b3c4c,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8944791
ff5cf906-6194-4312-90b1-6a0a8a36e681,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90724033
89e389b8-79c7-4df7-9301-db133bc99fd1,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90724033
4dbe98f2-cb59-4194-9425-6adfcb40d291,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
c1a53c43-a957-4fd7-bbc9-478d1e5a760e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.6005652
2c82bffe-729c-4b1f-aeaf-6981576b6fd8,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
db65d3fe-d9fa-4f8b-bd41-9aefa54a53ba,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
7969af6b-ffb7-4fa6-8a28-1e6456defc81,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.93522865
d2a0a827-81d6-4e98-9a65-97579e5fac47,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.91320467
27edd9cc-d0ce-420d-bd40-063f8cbc0674,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9106667
04f4148a-4acd-4716-b995-adc39a9f457e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
dafc1713-23d0-4987-85fa-9b23b9caf585,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94346535
6d808c8b-db5e-4efb-895a-7a70e68ee3a7,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
8a20a240-eab9-48df-806e-e44bc083fdc4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90724033
e48631d0-34a0-476c-a52c-5006282356d9,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
c5152c6e-b1ee-4542-b2d8-ca93a8a99bd5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
df445666-c633-4b00-870c-429d6b5864ef,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
77aa2b80-a434-48d8-a589-2a311fc33b10,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
f65ed92f-9ab1-4faf-b524-63134bb30c37,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
eb2c5a23-dc5b-45f5-896d-c10be22da747,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
f16c77a3-dcc5-4e2d-9b78-098e40de7977,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94346535
aaad170d-0de2-4c66-82ce-0a348034cd15,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
c0279f47-9016-455f-8742-a960e4726e2d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
08f21ba2-249c-42c3-ba63-625d70cc5252,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9054553
f7d77667-0c9a-486e-9b88-57e2298c1e7e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9072404
325e6b5c-8c63-4e81-b32e-80396db9d036,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
69c1cf59-2d84-401b-ac44-d432713cd8d5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9072404
e61cd1a9-52c5-4bf9-8b68-c65a3d4ea865,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90890276
f0e74e76-ff72-40b9-891b-8b9592635b8e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
a3abefa9-9b96-455c-9e04-5b0fe8319f10,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94346535
131020b6-4f10-4bb6-8676-75ebcc3e9e59,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
19ba294d-3568-4a90-9c54-f41404909189,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
ddf456bf-5b21-41cd-83a4-7f58086f7a7d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
d93a4bbc-9ce6-453a-8282-6fe5dfd3f768,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ea6a29b9-63e5-4d2f-8940-8dc22d28d932,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
4983571b-3da8-4440-95f3-baad477c754b,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
13b12bfc-1e1c-4f80-ad97-94649c787036,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8648381
1a2c9f43-e4ea-4e08-a742-ed2f66863d26,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
e1f7096f-d687-441d-bf76-1732f67ef867,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
6b9a3554-fc10-445c-ac36-b0951cef7a98,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
ade177f1-8174-47ed-83ae-91ea1eb8c298,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
c161371b-1ae2-438e-a6cc-2cae861e09d0,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.83604896
9e3ee106-c42b-4bca-a852-eae9e8201800,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
7a260c86-8a6a-4b42-bb69-e7dc6a0f3572,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
922da0aa-c420-437d-aaf5-ae118a574d15,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
f56eeace-7707-4fb0-a2ad-7d93a27a8036,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
d01aeec4-c075-424e-9f1d-c76456f735a2,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
394ec88f-7083-4f37-aa43-bad2fc7cdac4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8865866
2188c85c-1a80-4bdf-9f6b-054ddf45a139,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
7e84c7fc-5e59-4fe0-8487-b660cb9af22c,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9413092
eb13d915-9a63-4307-a3c8-3cf8b45efa2d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
c832ae7c-c303-4c61-becb-a111e31acef3,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8512217
8d9dfe3c-8306-4a0a-b285-57ab24063dcc,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
eb36ba07-c6c1-4593-a79d-7229e8772f98,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
