persona_id,avg_compound,std_compound,n
45ae27f1-2c96-4633-962e-0e06e771d49f,-0.2707551020408163,0.5990986372116395,49
b14f1cf4-89c7-4331-910e-6e264fd324ee,-0.24204799999999999,0.6402044301181125,50
d4062330-8c46-4572-9ba8-270e1e24210e,-0.227938,0.6144260467248094,50
a2d38154-f128-4647-954d-5a4ebb4da141,-0.22712400000000002,0.6946788233244988,50
f9393cac-4fd7-4d0b-961b-737d710c0cc2,-0.220684,0.7081393020920014,50
2fb54878-dfa5-4869-8206-90fe8e3c3402,-0.21632,0.5690187447147367,50
27aaac20-907a-4547-8ec7-e62eaf6c050d,-0.213892,0.6057220591954021,50
718ec20f-ff84-44b4-9bc6-4a73b2a99566,-0.21012799999999998,0.6642954619991417,50
84cc50cb-bd1b-4691-99f4-1d49e53bac71,-0.20630204081632653,0.7176898777471704,49
41c9b4d2-5253-41a5-9d3a-2490433a1ccf,-0.2054,0.6662767680676451,49
2fa7bd42-bc1b-4df3-bd03-7be2f3a0ba19,-0.205014,0.6429118802124963,50
d2cc9b50-0271-4f3d-a66a-ca8229283881,-0.20477551020408163,0.6328104654800586,49
91a3a041-56f9-491f-a71f-0b842c50fc74,-0.20422,0.6319260170466224,50
4ef1b845-50a3-4d0c-b9a0-fc05e495e178,-0.202162,0.5914897866491051,50
2521df93-15c5-421c-a943-c6c7c138f955,-0.200962,0.5823865715575971,50
6e701a72-40b7-4845-b54e-69af0a13f55b,-0.19902800000000004,0.7169541894795266,50
631f3a13-b030-406e-87a9-7d15ab94d175,-0.198662,0.6586846571054485,50
c283d0c2-9f04-45b3-a7c0-7b39fcf08268,-0.196958,0.5834710142985087,50
fe7456c8-da91-4174-b975-32880085a610,-0.196654,0.6882188958878874,50
04c616b4-ea3c-4303-aa9c-71f142084079,-0.1962183673469388,0.5921757430841615,49
8bafe22a-1539-4dfb-89c6-754d8c009f0b,-0.19604081632653061,0.7078495811606585,49
6e1f8fe6-13fd-477e-b86f-0d2de5d310a3,-0.19515000000000002,0.6435453767333688,48
79ab00b5-f22b-4da8-bc52-3d88760f6b6e,-0.194756,0.6291726800249642,50
119be7f1-0ac1-46a7-a9ab-2f58195fe0d5,-0.191778,0.667724531460606,50
95a45710-ed8f-4add-93de-530b8e869de3,-0.190626,0.6442966168890645,50
3ac43283-c306-4561-8a3f-d0e2615afb42,-0.19049591836734694,0.6938657392822187,49
98c62b9f-7cad-4a77-a5ea-6649b5873126,-0.18972,0.6885365417955355,50
2ac20f20-e77a-44ff-965f-dcae69d7d471,-0.18818200000000002,0.6284351068701833,50
87f2ccdc-13b3-49f4-b2fb-0f5e29bd37f1,-0.18642857142857142,0.6800792894949823,49
f1bc0604-83da-409d-baa4-bbe1f235b0ca,-0.18613600000000002,0.7262079504170824,50
4f4ea0d5-fa72-442b-a097-2797fa8e6463,-0.186044,0.6842408342455013,50
ba49a005-e6ed-463c-9e64-8d28ea462532,-0.185804,0.6878114670964622,50
f9036f89-6b61-43c3-b2b9-790c9927fe25,-0.18573,0.6126448904011963,50
ea1cbf58-ba7e-40d8-acd8-84f8e2cba342,-0.184572,0.6908079218670596,50
c8c68735-3bfc-4286-89ec-9733c9e40526,-0.184556,0.6795512283132454,50
e79af768-2077-482e-8050-32ca0628e51b,-0.18404199999999998,0.7091518288513858,50
ed595d75-3ed9-4171-a0a0-f87007126769,-0.18360816326530613,0.6162299556702077,49
1bb9b99a-fcb6-4582-8985-4b03417ff6fc,-0.182452,0.6627947302020992,50
8a01a395-854b-40f9-8d7a-5639516c8592,-0.182144,0.6480907309748459,50
04f4ad2a-d1df-4de3-b33a-e48b8bcc1102,-0.18192599999999998,0.5960736616614852,50
81624afe-fff2-486c-9d36-5f59afab4d6b,-0.181146,0.6801453422734925,50
15e88db6-5d2e-472e-ab0c-782a522f642a,-0.18089,0.5656329422939962,50
da1e22ba-75de-43e2-8bf6-f336aefb5c51,-0.179698,0.6421718618874546,50
7644d8c5-cc38-4cf7-b966-d3788709db93,-0.1793204081632653,0.6746361377252408,49
762a7472-cfc9-470c-8d70-dd191d9c9ee7,-0.17837755102040817,0.6718622249220526,49
7490f02c-ff00-40ff-8a4b-bc5ecb1af01c,-0.17829799999999998,0.6613305454945216,50
f16c77a3-dcc5-4e2d-9b78-098e40de7977,-0.17810816326530612,0.7155719241851043,49
43136ee0-f9bb-41ef-8df4-0901f492665a,-0.177364,0.6109850760594296,50
0eaab594-9bc2-4c3b-a193-b04f4bfd734b,-0.17732200000000004,0.6206600085721783,50
ff7b6bb0-c7b4-46b4-8dc0-af4925f43162,-0.17703400000000002,0.6402085794074762,50
c055bccc-83d3-4e5f-92d9-3720cdff1aa3,-0.17554999999999998,0.6854860424456177,50
8ed873e2-8eee-4459-a7e2-c05ad164e7f0,-0.175024,0.6544409044149276,50
86ad5bcd-5af8-4e6c-b515-701d930682dd,-0.17422040816326528,0.6899460147901646,49
2ba40884-fd7e-4dc3-bef0-99408b064139,-0.173486,0.6746805436074534,50
c854b6ee-fc97-477d-9867-c615fba1415d,-0.173124,0.6002925727356891,50
0e7a8d2b-37c2-4648-964d-6a99f70bb190,-0.17258800000000002,0.6888306096803866,50
8439feaf-1d6f-491d-8df0-a06aa9888071,-0.17154,0.7049804617353388,50
97faf622-d603-44d2-bb01-75139cdd580f,-0.170294,0.5969862147282048,50
612fd41c-bdc5-439a-a3f7-86c0e8e8a38b,-0.170258,0.6021888855785082,50
192f5bd2-44c1-440b-b107-0aacea48c485,-0.168886,0.6605827822831742,50
1ff5ae1d-29c3-4aed-8134-0cc2d127e4c9,-0.16772244897959185,0.7331390273637584,49
6e69ebb8-386e-4c7d-b455-42d5c5f13b01,-0.167488,0.621361282609828,50
c18a5d6f-cb31-40d5-9a60-83fc42f01ff9,-0.16724799999999998,0.6897692622899341,50
fd15cb17-e39e-4ce5-9ba3-0ad599d29a06,-0.1671326530612245,0.6233551313215429,49
0c2f6581-ebd2-435d-810b-e7a513596898,-0.16708199999999998,0.6732673743948163,50
dc82d5b7-5bc0-40f8-ab25-276a466cf374,-0.16620000000000001,0.5992571704423157,50
a94abc7a-6cb1-4301-8ffe-62ef43650193,-0.16582448979591835,0.6579768757115164,49
02d9883c-813b-4d16-93de-b00e57fa3251,-0.165682,0.556294654961537,50
379d9da1-8d5e-42f0-85ef-b9832d0d68df,-0.165604,0.6783809852937825,50
8a91c157-3815-4fd2-9f5c-e3164e916f67,-0.1655,0.659312731840776,50
aab10224-9ca2-454d-b37d-217ff43afdab,-0.16544897959183671,0.7013568237478602,49
f33c17ac-cdec-4557-a7ad-acb927cc845b,-0.165246,0.6931164078129963,50
65e9015c-0270-44ed-8e57-6d29998f7238,-0.165016,0.6431451194223079,50
eb3df7ef-a91d-4e41-a89b-41a735d59a53,-0.164994,0.6610466028864795,50
2430e367-c8b6-431f-8770-80a4faeeab32,-0.164928,0.683971249556886,50
3f3ff1ee-6919-4d11-a1d1-84390255d752,-0.16473673469387756,0.6863178644931581,49
fdfdf6fd-8c5c-4759-8b42-e94ab3bb50ed,-0.16361599999999998,0.6445226008481639,50
1bebef94-38ee-45cd-a304-6bcdcac786b9,-0.1631142857142857,0.5874261155668855,49
d2aff928-4a62-4045-bae7-e1f88ad7aac4,-0.162056,0.644984632045997,50
fc9fe2e4-814e-42c8-9393-eb941522e5d8,-0.161388,0.6837103992606393,50
3446eebd-7aeb-4083-8b02-f7a13d3cc24f,-0.16119,0.6867354899546587,50
6e1faddd-ea52-4e16-8a1e-415003c56d4d,-0.160524,0.6659897828351546,50
5821cd6c-6494-4dee-bf59-225785772f0d,-0.16041,0.6518950886704494,50
c08ab85f-d7f1-4f0a-ba31-adf5be897d4c,-0.160122,0.5612301300659807,50
05341540-3a3c-4c3f-b69b-29d2bf1af96b,-0.16011632653061225,0.67551733981783,49
af39c604-db51-4c6e-ba03-21e8b900bf16,-0.159598,0.6757871269980854,50
e594fcc8-5107-4999-b4cd-676640cd0747,-0.15941632653061225,0.6770444958134025,49
8b96b2e7-b16f-4d1b-ad72-4a3a9a7449b1,-0.159114,0.6664539759389976,50
008cc9c2-56ac-4a8e-bfa7-1d46e22c5584,-0.15860204081632653,0.646159165921278,49
d9064d28-7179-41d4-af1e-28e8ee860ff8,-0.15826,0.699702322711711,50
d3985607-97e0-46db-bf96-40807f0a035f,-0.15806734693877553,0.6926984019000607,49
fcf319b8-494c-4fec-abbb-fcf7e81147e7,-0.157498,0.7036196390995142,50
bf788061-22f8-4471-a908-8d46cf3b25dc,-0.156662,0.6490798906489847,50
df9a2079-58af-40cd-b81d-4b8c49ead8ce,-0.15635,0.6822513760352856,50
