image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,caption,0.9124045215595693,0.9092637315696436,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,justification,0.6515889048784796,0.6348095659159679,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,gender,perception,0.5887791545189506,0.5798700793650793,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,caption,0.912404521559569,0.905093326648669,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,justification,0.6515889048784796,0.5298819017858712,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,economic_status,perception,0.5887791545189506,0.5555789814814814,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,caption,0.9124045215595693,0.9076327617538652,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,justification,0.6515889048784796,0.5667747800450581,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,political_spectrum,perception,0.5887791545189505,0.5582462698412699,12
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,caption,0.9124045215595692,0.9091639036752698,24
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,justification,0.6515889048784796,0.6211006174623559,24
135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,personality,perception,0.5887791545189504,0.5741519841269841,24
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,caption,0.9014493096774164,0.8981667179465552,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,justification,0.6104150731809482,0.6008364231652872,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,gender,perception,0.4078248299319727,0.4038844444444445,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,caption,0.9014493096774165,0.8863883167283925,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,justification,0.6104150731809482,0.5411994051894428,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,economic_status,perception,0.40782482993197283,0.3538877777777778,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,caption,0.9014493096774162,0.879698784702581,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,justification,0.6104150731809481,0.535557142853942,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,political_spectrum,perception,0.40782482993197283,0.37697277777777777,12
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,caption,0.9014493096774162,0.890996225009873,24
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,justification,0.6104150731809482,0.559039435427881,24
13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,personality,perception,0.4078248299319727,0.3854436111111111,24
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,caption,0.9357945879879553,0.9327440902609428,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,justification,0.6503006428720237,0.6280779261952948,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,gender,perception,0.3659790249433106,0.33682658730158727,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,caption,0.9357945879879556,0.9272180586688745,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,justification,0.6503006428720237,0.5393610710627966,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,economic_status,perception,0.36597902494331064,0.3011873015873016,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,caption,0.9357945879879553,0.9272478452296617,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,justification,0.6503006428720238,0.4581286513265817,12
