dimension,jsd,p_perm,n_images
gender,0.025632433888206053,0.000999000999000999,50
economic_status,0.31126364881579227,0.000999000999000999,50
political_spectrum,0.28149024407681394,0.000999000999000999,50
personality,0.09490415702498345,0.000999000999000999,50
