row_persona,F/High/Cons/Anal,F/High/Cons/Empa,F/High/Cons/Prag,F/High/Prog/Anal,F/High/Prog/Empa,F/High/Prog/Prag,F/Low /Cons/Anal,F/Low /Cons/Empa,F/Low /Cons/Prag,F/Low /Prog/Anal,F/Low /Prog/Empa,F/Low /Prog/Prag,M/High/Cons/Anal,M/High/Cons/Empa,M/High/Cons/Prag,M/High/Prog/Anal,M/High/Prog/Empa,M/High/Prog/Prag,M/Low /Cons/Anal,M/Low /Cons/Empa,M/Low /Cons/Prag,M/Low /Prog/Anal,M/Low /Prog/Empa,M/Low /Prog/Prag
F/High/Cons/Anal,0.49241911423782769,0.44206160124791843,0.46911234840398891,0.44824593842621935,0.42281437080531015,0.44966253091244185,0.43147438983910485,0.4226066343105746,0.42555603913536422,0.40889469928387689,0.40678149587205986,0.41565063341672859,0.47651017954713282,0.444795864870213,0.4752993551118998,0.42920611019774119,0.42217149481415761,0.43907960121125056,0.43779930803439382,0.4159603803469723,0.43070166203950178,0.41713306877649614,0.40217974830329956,0.4083808401365438
F/High/Cons/Empa,0.44206160124791843,0.48474657976080127,0.45013702818772144,0.44837260626169156,0.45838555972810113,0.45384034613571145,0.41266511312021625,0.43236347693345784,0.41185173780400086,0.40720077017821071,0.42569718865714234,0.41254422406178148,0.43771262786719212,0.46874766525967604,0.45202591935281333,0.43383895012329482,0.45440044486749664,0.44179323772031087,0.42357242569647996,0.42955422961402462,0.42217002484097432,0.41641402404635458,0.41853248690857414,0.40570148085122376
F/High/Cons/Prag,0.46911234840398897,0.45013702818772144,0.49296158464159839,0.44151359848478444,0.42488925706519304,0.45263116611545806,0.43025059128781196,0.42222489527172263,0.42912004983681407,0.40738723824581213,0.40617736895365963,0.41430129173882863,0.46089210490351612,0.45056753069038247,0.48374817250111291,0.42649467369861538,0.42495108305439999,0.44399927132242695,0.43778204434860712,0.42093974715253202,0.43413282554381438,0.41493374878868527,0.39820788816062491,0.40870291933509295
F/High/Prog/Anal,0.44824593842621935,0.44837260626169156,0.44151359848478444,0.49937322722352584,0.46656409935282595,0.47083584420688906,0.40860027323328152,0.4177726207706417,0.40564432833464442,0.41921919011270553,0.42203061790277807,0.41645571080908761,0.44881206053145639,0.45274995222458175,0.44971990347694629,0.47672175043257725,0.45796818766651465,0.46093855027997604,0.41750329977864165,0.41518289649024448,0.41125306777525827,0.42544594013605441,0.4220076849122058,0.41016515930482522
F/High/Prog/Empa,0.42281437080531015,0.45838555972810113,0.42488925706519304,0.46656409935282595,0.50057173624415041,0.47088918456571038,0.39828219795751246,0.42463920899941532,0.4016343550153636,0.41968622645846215,0.43977766935504098,0.41582921846662502,0.42172901670923968,0.45827998985804186,0.43398190215090865,0.45878334271719284,0.48087844648033135,0.45957513083477702,0.41427367307361879,0.42509614734033851,0.40973235013802622,0.42000075228729172,0.4346888298596856,0.40861785357808861
F/High/Prog/Prag,0.44966253091244185,0.45384034613571145,0.45263116611545806,0.47083584420688918,0.47088918456571038,0.50330406120868787,0.41279079515028,0.42643145354052664,0.41868040907029475,0.42201151526846986,0.43302607295552392,0.42354067989721611,0.44324822850159229,0.46173501875459133,0.46279567103804486,0.4622348980377417,0.47670153560090706,0.48888205311675681,0.42927366868048816,0.42409141099980902,0.42253176069538934,0.43143003451339718,0.42727232923996511,0.41822932780860178
F/Low /Cons/Anal,0.43147438983910485,0.41266511312021636,0.43025059128781196,0.40860027323328152,0.39828219795751246,0.41279079515028,0.47081522206607185,0.44279644017466813,0.46596618515660859,0.43531144456536369,0.41950428440768889,0.44695274319256817,0.43364385821741985,0.41608006776262912,0.43485838880129746,0.396598003196449,0.39966594519194315,0.4082989981214713,0.46964877869537086,0.43556148788897758,0.47007479333256869,0.43525361564779608,0.4198649570486449,0.43739828603451664
F/Low /Cons/Empa,0.4226066343105746,0.43236347693345784,0.42222489527172263,0.4177726207706417,0.42463920899941532,0.42643145354052664,0.44279644017466813,0.48895520569873357,0.45953884796635813,0.43937372235819133,0.44809692844429427,0.45069591387189961,0.42462756090473647,0.4344102493281109,0.42615183782881905,0.40659632870953788,0.4275521706765632,0.42091296909913489,0.45356930136322549,0.46177937804052399,0.45818967238948988,0.44447327188539781,0.44770558086144691,0.44208619559709544
F/Low /Cons/Prag,0.42555603913536433,0.41185173780400086,0.42912004983681407,0.40564432833464442,0.4016343550153636,0.41868040907029491,0.46596618515660859,0.45953884796635813,0.49910148908600915,0.44740603990884631,0.43051468110579322,0.45826135979272004,0.42951401279461288,0.41781353571630725,0.43355800341395828,0.3945075516979149,0.40743088206459932,0.41382085958562237,0.47818380935306665,0.45057135580058649,0.49207814174855125,0.44458777476514422,0.42825139609948637,0.44985928800973496
F/Low /Prog/Anal,0.40889469928387689,0.40720077017821077,0.40738723824581213,0.41921919011270553,0.41968622645846215,0.42201151526846986,0.43531144456536369,0.43937372235819133,0.44740603990884636,0.47951812773815861,0.45245911291354568,0.46957346745672196,0.41422070736252004,0.4089477062131075,0.41503903297454625,0.40838535863060671,0.41546540847308089,0.41999331214182645,0.45327045696174573,0.43467035876368532,0.45212556083281796,0.46688535833554207,0.45033544246208079,0.45538845581476939
