model,display_model,heatmap,figure,metric,row_label,column_label,value
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,F/High/Prog/Anal,0.07320644216691069
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Destruction & conflict,F/High/Prog/Anal,0.071742313323572476
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,F/High/Prog/Anal,0.07320644216691069
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,F/High/Prog/Anal,0.074670571010248904
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,F/High/Prog/Anal,0.070278184480234263
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Typical urban scene,F/High/Prog/Anal,0.064421669106881407
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Natural landscape & beauty,F/High/Prog/Empa,0.2361111111111111
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Work & development,F/High/Prog/Empa,0.1388888888888889
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Accident & police response,F/High/Prog/Empa,0.11805555555555555
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Rural & quiet road,F/High/Prog/Empa,0.13055555555555556
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,F/High/Prog/Empa,0.070833333333333331
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Destruction & conflict,F/High/Prog/Empa,0.069444444444444448
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,F/High/Prog/Empa,0.058333333333333334
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,F/High/Prog/Empa,0.063888888888888884
